tile,flood_label,water_body_label
nebraska_20170731t002118_x-10_y-13.png,0,0
nebraska_20170731t002118_x-10_y-15.png,1,0
nebraska_20170731t002118_x-10_y-16.png,1,1
nebraska_20170731t002118_x-10_y-17.png,0,0
nebraska_20170731t002118_x-10_y-19.png,1,0
nebraska_20170731t002118_x-10_y-25.png,1,1
nebraska_20170731t002118_x-10_y-28.png,0,0
nebraska_20170731t002118_x-10_y-35.png,0,0
nebraska_20170731t002118_x-10_y-36.png,1,0
nebraska_20170731t002118_x-10_y-37.png,0,0
nebraska_20170731t002118_x-11_y-13.png,0,0
nebraska_20170731t002118_x-11_y-19.png,0,0
nebraska_20170731t002118_x-11_y-22.png,0,0
nebraska_20170731t002118_x-11_y-26.png,1,1
nebraska_20170731t002118_x-11_y-28.png,0,0
nebraska_20170731t002118_x-11_y-37.png,0,0
nebraska_20170731t002118_x-12_y-26.png,0,0
nebraska_20170731t002118_x-12_y-27.png,1,1
nebraska_20170731t002118_x-12_y-34.png,0,0
nebraska_20170731t002118_x-12_y-35.png,1,0
nebraska_20170731t002118_x-12_y-36.png,1,0
nebraska_20170731t002118_x-12_y-37.png,1,0
nebraska_20170731t002118_x-12_y-38.png,0,0
nebraska_20170731t002118_x-13_y-17.png,1,0
nebraska_20170731t002118_x-13_y-20.png,0,0
nebraska_20170731t002118_x-13_y-27.png,1,1
nebraska_20170731t002118_x-13_y-29.png,0,0
nebraska_20170731t002118_x-13_y-34.png,0,0
nebraska_20170731t002118_x-13_y-35.png,1,0
nebraska_20170731t002118_x-13_y-36.png,0,0
nebraska_20170731t002118_x-13_y-37.png,0,0
nebraska_20170731t002118_x-13_y-38.png,0,0
nebraska_20170731t002118_x-14_y-18.png,1,1
nebraska_20170731t002118_x-14_y-21.png,0,0
nebraska_20170731t002118_x-14_y-22.png,0,0
nebraska_20170731t002118_x-14_y-28.png,1,1
nebraska_20170731t002118_x-14_y-30.png,0,0
nebraska_20170731t002118_x-14_y-35.png,1,0
nebraska_20170731t002118_x-14_y-36.png,0,0
nebraska_20170731t002118_x-14_y-38.png,1,1
nebraska_20170731t002118_x-15_y-19.png,1,0
nebraska_20170731t002118_x-15_y-20.png,1,0
nebraska_20170731t002118_x-15_y-21.png,0,0
nebraska_20170731t002118_x-15_y-22.png,0,0
nebraska_20170731t002118_x-15_y-24.png,0,0
nebraska_20170731t002118_x-15_y-28.png,1,1
nebraska_20170731t002118_x-15_y-30.png,0,0
nebraska_20170731t002118_x-15_y-31.png,0,0
nebraska_20170731t002118_x-15_y-34.png,1,1
nebraska_20170731t002118_x-15_y-35.png,1,0
nebraska_20170731t002118_x-15_y-37.png,0,0
nebraska_20170731t002118_x-15_y-38.png,1,1
nebraska_20170731t002118_x-16_y-12.png,1,1
nebraska_20170731t002118_x-16_y-13.png,0,0
nebraska_20170731t002118_x-16_y-15.png,0,0
nebraska_20170731t002118_x-16_y-20.png,1,0
nebraska_20170731t002118_x-16_y-21.png,0,0
nebraska_20170731t002118_x-16_y-22.png,0,0
nebraska_20170731t002118_x-16_y-23.png,0,0
nebraska_20170731t002118_x-16_y-24.png,1,0
nebraska_20170731t002118_x-16_y-29.png,1,1
nebraska_20170731t002118_x-16_y-30.png,1,1
nebraska_20170731t002118_x-16_y-31.png,0,0
nebraska_20170731t002118_x-16_y-32.png,0,0
nebraska_20170731t002118_x-16_y-33.png,0,0
nebraska_20170731t002118_x-16_y-34.png,0,0
nebraska_20170731t002118_x-16_y-35.png,1,0
nebraska_20170731t002118_x-16_y-38.png,0,0
nebraska_20170731t002118_x-16_y-9.png,0,0
nebraska_20170731t002118_x-17_y-18.png,1,0
nebraska_20170731t002118_x-17_y-19.png,1,0
nebraska_20170731t002118_x-17_y-20.png,1,1
nebraska_20170731t002118_x-17_y-21.png,0,0
nebraska_20170731t002118_x-17_y-22.png,0,0
nebraska_20170731t002118_x-17_y-23.png,0,0
nebraska_20170731t002118_x-17_y-24.png,1,1
nebraska_20170731t002118_x-17_y-25.png,0,0
nebraska_20170731t002118_x-17_y-30.png,1,1
nebraska_20170731t002118_x-17_y-31.png,1,1
nebraska_20170731t002118_x-17_y-33.png,1,1
nebraska_20170731t002118_x-17_y-34.png,0,0
nebraska_20170731t002118_x-17_y-35.png,1,0
nebraska_20170731t002118_x-17_y-37.png,0,0
nebraska_20170731t002118_x-17_y-38.png,0,0
nebraska_20170731t002118_x-17_y-7.png,0,0
nebraska_20170731t002118_x-17_y-9.png,0,0
nebraska_20170731t002118_x-18_y-10.png,0,0
nebraska_20170731t002118_x-18_y-11.png,0,0
nebraska_20170731t002118_x-18_y-13.png,1,1
nebraska_20170731t002118_x-18_y-17.png,0,0
nebraska_20170731t002118_x-18_y-21.png,0,0
nebraska_20170731t002118_x-18_y-22.png,0,0
nebraska_20170731t002118_x-18_y-23.png,1,1
nebraska_20170731t002118_x-18_y-24.png,0,0
nebraska_20170731t002118_x-18_y-25.png,0,0
nebraska_20170731t002118_x-18_y-26.png,0,0
nebraska_20170731t002118_x-18_y-27.png,0,0
nebraska_20170731t002118_x-18_y-29.png,0,0
nebraska_20170731t002118_x-18_y-30.png,0,0
nebraska_20170731t002118_x-18_y-31.png,1,1
nebraska_20170731t002118_x-18_y-33.png,1,1
nebraska_20170731t002118_x-18_y-34.png,0,0
nebraska_20170731t002118_x-18_y-35.png,1,0
nebraska_20170731t002118_x-18_y-36.png,0,0
nebraska_20170731t002118_x-18_y-37.png,0,0
nebraska_20170731t002118_x-18_y-38.png,0,0
